23.10.2017 18:56:41: Lewis (25.6.40.189:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "epoch_gm_enabled" = true 2:2161 Epoch_Female_F
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_morphine" = 0 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bloodvolume" = 100 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_isunconscious" = false 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_tourniquets" = [0,0,0,0,0,0] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_occludedmedications" = any 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_openwounds" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bandagedwounds" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_internalwounds" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_lastuniquewoundid" = 1 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_fractures" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_triagelevel" = 0 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_triagecard" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_ivbags" = any 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bodypartstatus" = [0,0,0,0,0,0] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_addedtounitloop" = false 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_incardiacarrest" = false 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_haslostblood" = 0 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_isbleeding" = false 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_haspain" = false 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_amountofrevivelives" = -1 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_painsuppress" = 0 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_allusedmedication" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_alllogs" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_name" = "Lewis" 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_nameraw" = "Lewis" 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_playerowner" = 3 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:18: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_movement_loadcoef" = 1 2:1515 Epoch_Male_F
24.10.2017 10:16:18: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_muteunitreasons" = ["isPlayer"] 2:1515 Epoch_Male_F
24.10.2017 10:16:18: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_originalspeaker" = "" 2:1515 Epoch_Male_F
24.10.2017 10:16:18: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_muteunitreasons" = [] 2:1164
24.10.2017 10:16:18: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_playerowner" = any 2:1164
24.10.2017 10:16:18: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_playerowner" = 3 2:1515 Epoch_Male_F
24.10.2017 10:16:18: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_parachute_hasreserve" = false 2:1515 Epoch_Male_F
24.10.2017 10:16:18: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_statuseffect_object" = B Alpha 1-1:1 2:1515 Epoch_Male_F
24.10.2017 10:16:18: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_name" = "Lewis" 2:1515 Epoch_Male_F
24.10.2017 10:16:18: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_nameraw" = "Lewis" 2:1515 Epoch_Male_F
24.10.2017 10:16:38: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_map_gestures_transmit" = false 2:1515 Epoch_Male_F
24.10.2017 10:17:02: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "epoch_gm_enabled" = true 2:1515 Epoch_Male_F
24.10.2017 10:17:22: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "epoch_gm_enabled" = false 2:1515 Epoch_Male_F
24.10.2017 10:17:24: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "epoch_gm_enabled" = true 2:1515 Epoch_Male_F
24.10.2017 10:17:41: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_map_gestures_transmit" = false 2:1515 Epoch_Male_F
24.10.2017 10:17:46: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_map_gestures_transmit" = false 2:1515 Epoch_Male_F
24.10.2017 10:17:50: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_map_gestures_transmit" = false 2:1515 Epoch_Male_F
24.10.2017 10:18:45: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_captives_issurrendering" = true 2:1515 Epoch_Male_F
24.10.2017 10:18:45: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_effect_setcaptive" = 2 2:1515 Epoch_Male_F
24.10.2017 10:18:48: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_captives_issurrendering" = false 2:1515 Epoch_Male_F
24.10.2017 10:18:48: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_effect_setcaptive" = 0 2:1515 Epoch_Male_F
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_muteunitreasons" = ["isPlayer"] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_originalspeaker" = "male03gre" 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_pain" = 0 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_morphine" = 0 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bloodvolume" = 100 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_isunconscious" = false 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_tourniquets" = [0,0,0,0,0,0] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_occludedmedications" = any 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_openwounds" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bandagedwounds" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_internalwounds" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_lastuniquewoundid" = 1 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_fractures" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_triagelevel" = 0 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_triagecard" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_ivbags" = any 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bodypartstatus" = [0,0,0,0,0,0] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_addedtounitloop" = false 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_incardiacarrest" = false 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_haslostblood" = 0 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_isbleeding" = false 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_haspain" = false 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_amountofrevivelives" = -1 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_painsuppress" = 0 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_allusedmedication" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_alllogs" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_pain" = 0 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_morphine" = 0 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bloodvolume" = 100 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_isunconscious" = false 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_tourniquets" = [0,0,0,0,0,0] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_occludedmedications" = any 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_openwounds" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bandagedwounds" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_internalwounds" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_lastuniquewoundid" = 1 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_fractures" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_triagelevel" = 0 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_triagecard" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_ivbags" = any 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bodypartstatus" = [0,0,0,0,0,0] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_addedtounitloop" = false 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_incardiacarrest" = false 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_haslostblood" = 0 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_isbleeding" = false 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_haspain" = false 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_amountofrevivelives" = -1 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_painsuppress" = 0 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_allusedmedication" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_alllogs" = [] 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_name" = "Lewis" 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_nameraw" = "Lewis" 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:17: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_playerowner" = 3 2:2273 VirtualMan_EPOCH
24.10.2017 10:48:18: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_movement_loadcoef" = 1 2:2286 Epoch_Male_F
24.10.2017 10:48:18: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_muteunitreasons" = ["isPlayer"] 2:2286 Epoch_Male_F
24.10.2017 10:48:18: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_originalspeaker" = "" 2:2286 Epoch_Male_F
24.10.2017 10:48:18: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_playerowner" = 3 2:2286 Epoch_Male_F
24.10.2017 10:48:18: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_parachute_hasreserve" = false 2:2286 Epoch_Male_F
24.10.2017 10:48:18: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_statuseffect_object" = B Alpha 1-1:1 REMOTE 2:2286 Epoch_Male_F
24.10.2017 10:48:18: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_name" = "Lewis" 2:2286 Epoch_Male_F
24.10.2017 10:48:18: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_nameraw" = "Lewis" 2:2286 Epoch_Male_F
24.10.2017 10:48:22: Lewis (127.0.0.1:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_map_gestures_transmit" = false 2:2286 Epoch_Male_F
24.10.2017 10:53:31: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_muteunitreasons" = ["isPlayer"] 2:1843 VirtualMan_EPOCH
24.10.2017 10:53:31: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_originalspeaker" = "male03gre" 2:1843 VirtualMan_EPOCH
24.10.2017 10:53:31: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_pain" = 0 2:1843 VirtualMan_EPOCH
24.10.2017 10:53:31: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_morphine" = 0 2:1843 VirtualMan_EPOCH
24.10.2017 10:53:31: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bloodvolume" = 100 2:1843 VirtualMan_EPOCH
24.10.2017 10:53:31: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_isunconscious" = false 2:1843 VirtualMan_EPOCH
24.10.2017 10:53:31: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_tourniquets" = [0,0,0,0,0,0] 2:1843 VirtualMan_EPOCH
24.10.2017 10:53:31: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_occludedmedications" = any 2:1843 VirtualMan_EPOCH
24.10.2017 10:53:31: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_openwounds" = [] 2:1843 VirtualMan_EPOCH
24.10.2017 10:53:31: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bandagedwounds" = [] 2:1843 VirtualMan_EPOCH
24.10.2017 10:53:31: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_internalwounds" = [] 2:1843 VirtualMan_EPOCH
